ROM Vampire Killer SHA1 5EF7D03B138A2023F6DEF241B671C666F97ED83B
MACHINE C-BIOS_MSX2+
EXTENSIONS ERROR wrong # args: should be "ext extension"
DEBUG_LIST {VDP palette} ioports joystickports {Printer Port} {PSG regs} {VDP status regs} {VDP register latch status} {C-BIOS Main ROM romblocks} {C-BIOS MSX-MUSIC regs} {slotted memory} keymatrix {physical VRAM} {Main RAM regs} {C-BIOS Logo ROM romblocks} MapperIO {VDP palette latch status} {Vampire Killer - Akumaj? Dracula} {VDP regs} memory VRAM {C-BIOS Main ROM} {C-BIOS Sub ROM} {C-BIOS Logo ROM} {C-BIOS Sub ROM romblocks} {VDP data latch value} {CPU regs} {Vampire Killer - Akumaj? Dracula romblocks} {VRAM access status} {C-BIOS MSX-MUSIC ROM} {Main RAM} {VRAM pointer} {Real time clock SRAM}
MAP_WRITE_001_ADDR_B000_VAL_0F PC=0D42 SP=FFFF AF=0FA2 BC=F0A0 DE=FFFF HL=B000
MAP_WRITE_002_ADDR_B000_VAL_F0 PC=0D47 SP=FFFF AF=F072 BC=F0A0 DE=FFFF HL=B000
MAP_WRITE_003_ADDR_A000_VAL_0F PC=0D42 SP=FFFF AF=0FA2 BC=F0A0 DE=FFFF HL=A000
MAP_WRITE_004_ADDR_A000_VAL_F0 PC=0D47 SP=FFFF AF=F072 BC=F0A0 DE=FFFF HL=A000
MAP_WRITE_005_ADDR_9000_VAL_0F PC=0D42 SP=FFFF AF=0F82 BC=F0A0 DE=FFFF HL=9000
MAP_WRITE_006_ADDR_9000_VAL_F0 PC=0D47 SP=FFFF AF=F072 BC=F0A0 DE=FFFF HL=9000
MAP_WRITE_007_ADDR_8000_VAL_0F PC=0D42 SP=FFFF AF=0F82 BC=F0A0 DE=FFFF HL=8000
MAP_WRITE_008_ADDR_8000_VAL_F0 PC=0D47 SP=FFFF AF=F072 BC=F0A0 DE=FFFF HL=8000
VDP_CTRL_001_VAL_00 PC=0232 SP=F2FC AF=0041 BC=0000 DE=83A0 HL=FCC4
VDP_CTRL_002_VAL_80 PC=0237 SP=F2FC AF=8080 BC=0000 DE=83A0 HL=FCC4
VDP_CTRL_003_VAL_E0 PC=0232 SP=F2FC AF=E0A0 BC=E001 DE=83A0 HL=FCC4
VDP_CTRL_004_VAL_81 PC=0237 SP=F2FC AF=8184 BC=E001 DE=83A0 HL=FCC4
VDP_CTRL_005_VAL_00 PC=0232 SP=F2FC AF=00A0 BC=0002 DE=83A0 HL=FCC4
VDP_CTRL_006_VAL_82 PC=0237 SP=F2FC AF=8284 BC=0002 DE=83A0 HL=FCC4
VDP_CTRL_007_VAL_80 PC=0232 SP=F2FC AF=80A0 BC=8003 DE=83A0 HL=FCC4
VDP_CTRL_008_VAL_83 PC=0237 SP=F2FC AF=8380 BC=8003 DE=83A0 HL=FCC4
