INPUT SPACE DOWN
TRACE_ACTIVE_AFTER_SPACE
HUDCMD_001 all=0032 op=C0 lop=0 sx=072 sy=328 dx=000 dy=000 nx=256 ny=212 col=00 arg=00 cmd=C0 PC=4943 AF=C044 BC=009B DE=0066 HL=00D4
HUDCMD_002 all=0043 op=D0 lop=0 sx=096 sy=264 dx=000 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0020 HL=0808
HUDCMD_003 all=0044 op=D0 lop=0 sx=104 sy=264 dx=008 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=0820 HL=0808
HUDCMD_004 all=0045 op=D0 lop=0 sx=112 sy=264 dx=016 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1020 HL=0808
HUDCMD_005 all=0046 op=D0 lop=0 sx=120 sy=264 dx=024 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=1820 HL=0808
HUDCMD_006 all=0047 op=D0 lop=0 sx=064 sy=280 dx=032 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2020 HL=0808
HUDCMD_007 all=0048 op=D0 lop=0 sx=072 sy=280 dx=040 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=2820 HL=0808
HUDCMD_008 all=0049 op=D0 lop=0 sx=080 sy=280 dx=048 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3020 HL=0808
HUDCMD_009 all=0050 op=D0 lop=0 sx=088 sy=280 dx=056 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=3820 HL=0808
HUDCMD_010 all=0051 op=D0 lop=0 sx=112 sy=256 dx=064 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4020 HL=0808
HUDCMD_011 all=0052 op=D0 lop=0 sx=120 sy=256 dx=072 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=4820 HL=0808
HUDCMD_012 all=0053 op=D0 lop=0 sx=112 sy=256 dx=080 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5020 HL=0808
HUDCMD_013 all=0054 op=D0 lop=0 sx=120 sy=256 dx=088 dy=032 nx=008 ny=008 col=00 arg=00 cmd=D0 PC=4987 AF=D044 BC=089B DE=5820 HL=0808
