RUN sprite table dump
KD row=8 mask=1 SPACE1
KU row=8 mask=1 SPACE1
KD row=8 mask=1 SPACE2
KU row=8 mask=1 SPACE2
SPRITES_START PC=40C3 SP=F0F0 AF=0044 BC=0008 DE=01D9 HL=4028 IX=4075 IY=0120
SHOT sprites_22_start.png
VDPREG R00=06 R01=62 R02=1F R03=80 R04=00 R05=EF R06=1F R07=00 R08=08 R09=80 R10=00 R11=01 R12=00 R13=00 R14=03 R15=00 R16=0E R17=2F R18=00 R19=00 R20=00 R21=00 R22=00 R23=00 R24=00 R25=00 R26=00 R27=00 R28=00 R29=00 R30=00 R31=00
SAT phys7600 physical VRAM:07600
SAT_phys7600_00 y=00 x=00 pat=00 col=00
SAT_phys7600_01 y=00 x=00 pat=00 col=00
SAT_phys7600_02 y=00 x=00 pat=00 col=00
SAT_phys7600_03 y=00 x=00 pat=00 col=00
SAT_phys7600_04 y=00 x=00 pat=00 col=00
SAT_phys7600_05 y=00 x=00 pat=00 col=00
SAT_phys7600_06 y=00 x=00 pat=00 col=00
SAT_phys7600_07 y=00 x=00 pat=00 col=00
SAT_phys7600_08 y=00 x=00 pat=00 col=00
SAT_phys7600_09 y=00 x=00 pat=00 col=00
SAT_phys7600_10 y=00 x=00 pat=00 col=00
SAT_phys7600_11 y=00 x=00 pat=00 col=00
SAT_phys7600_12 y=00 x=00 pat=00 col=00
SAT_phys7600_13 y=00 x=00 pat=00 col=00
SAT_phys7600_14 y=00 x=00 pat=00 col=00
SAT_phys7600_15 y=00 x=00 pat=00 col=00
SAT_phys7600_16 y=00 x=00 pat=00 col=00
SAT_phys7600_17 y=00 x=00 pat=00 col=00
SAT_phys7600_18 y=00 x=00 pat=00 col=00
SAT_phys7600_19 y=00 x=00 pat=00 col=00
SAT_phys7600_20 y=00 x=00 pat=00 col=00
SAT_phys7600_21 y=00 x=00 pat=00 col=00
SAT_phys7600_22 y=00 x=00 pat=00 col=00
SAT_phys7600_23 y=00 x=00 pat=00 col=00
SAT_phys7600_24 y=00 x=00 pat=00 col=00
SAT_phys7600_25 y=00 x=00 pat=00 col=00
SAT_phys7600_26 y=00 x=00 pat=00 col=00
SAT_phys7600_27 y=00 x=00 pat=00 col=00
SAT_phys7600_28 y=00 x=00 pat=00 col=00
SAT_phys7600_29 y=00 x=00 pat=00 col=00
SAT_phys7600_30 y=00 x=00 pat=00 col=00
SAT_phys7600_31 y=00 x=00 pat=00 col=00
SAT physF600 physical VRAM:0F600
SAT_physF600_00 y=E0 x=77 pat=08 col=00
SAT_physF600_01 y=E0 x=77 pat=0C col=00
SAT_physF600_02 y=E0 x=00 pat=00 col=00
SAT_physF600_03 y=E0 x=00 pat=00 col=00
SAT_physF600_04 y=E0 x=00 pat=00 col=00
SAT_physF600_05 y=E0 x=00 pat=00 col=00
SAT_physF600_06 y=E0 x=A9 pat=44 col=00
SAT_physF600_07 y=E0 x=A9 pat=54 col=00
SAT_physF600_08 y=90 x=08 pat=08 col=00
SAT_physF600_09 y=90 x=08 pat=0C col=00
SAT_physF600_10 y=E0 x=C7 pat=4C col=00
SAT_physF600_11 y=E0 x=C7 pat=5C col=00
SAT_physF600_12 y=E0 x=00 pat=00 col=00
SAT_physF600_13 y=E0 x=00 pat=00 col=00
SAT_physF600_14 y=E0 x=77 pat=00 col=00
SAT_physF600_15 y=E0 x=77 pat=04 col=00
SAT_physF600_16 y=E0 x=00 pat=00 col=00
SAT_physF600_17 y=E0 x=00 pat=00 col=00
SAT_physF600_18 y=E0 x=00 pat=00 col=00
SAT_physF600_19 y=E0 x=00 pat=00 col=00
SAT_physF600_20 y=E0 x=99 pat=40 col=00
