t1 pc=8318 sp=F2F2 bank=00/04/33/3A flow=00 screen=FF irq=FFFF inirq=FF
t2 pc=811D sp=F2F6 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t3 pc=811D sp=F2F6 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t4 pc=811D sp=F2F6 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t5 pc=8142 sp=F2F6 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t6 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t7 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t8 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t9 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t10 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t11 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t12 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t13 pc=1130 sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t14 pc=23CE sp=F2FE bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
t15 pc=0E99 sp=F2F6 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
bp4010 pc=4010 sp=F2EC bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
restart_continue pc=4022 sp=F380 bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
mapper_init pc=4172 sp=F37E bank=00/04/33/3A flow=00 screen=33 irq=0000 inirq=00
install_bridge pc=4B57 sp=F37E bank=00/00/01/01 flow=00 screen=33 irq=0000 inirq=00
call_init_sound pc=51AF sp=F37E bank=00/00/01/01 flow=00 screen=33 irq=0000 inirq=00
init_sound_far pc=4F45 sp=F37E bank=00/00/01/01 flow=00 screen=33 irq=0000 inirq=00
overlay6000 pc=6000 sp=F376 bank=0A/0A/01/01 flow=00 screen=33 irq=0000 inirq=00
gameflow_init_far pc=4D79 sp=F37E bank=00/00/01/01 flow=00 screen=33 irq=0000 inirq=00
overlay6000 pc=6000 sp=F376 bank=06/06/01/01 flow=00 screen=33 irq=0000 inirq=00
gameflow_start_far pc=4D8D sp=F37E bank=00/00/01/01 flow=00 screen=33 irq=0000 inirq=00
t16 pc=1A04 sp=F244 bank=06/00/01/01 flow=00 screen=33 irq=0000 inirq=00
