t1 pc=811D sp=F2F6 banks=00/04/33/3A mem6000=00 mem8000=43
t2 pc=1130 sp=F2FE banks=00/04/33/3A mem6000=00 mem8000=F0
t3 pc=1130 sp=F2FE banks=00/04/33/3A mem6000=00 mem8000=F0
t4 pc=23CD sp=F2FE banks=00/04/33/3A mem6000=00 mem8000=F0
BP_4010 pc=4010 sp=F2EC banks=00/04/33/3A mem6000=77 mem8000=F0
BP_restart_continue pc=4022 sp=F380 banks=00/04/33/3A mem6000=77 mem8000=41
BP_mapper_set_p1 pc=417F sp=F37C banks=00/04/33/3A mem6000=77 mem8000=41
BP_mapper_set_p1 pc=417F sp=F37E banks=00/00/01/01 mem6000=77 mem8000=21
BP_install_bridge pc=4B52 sp=F37E banks=00/00/01/01 mem6000=77 mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F352 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F324 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F2F6 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F2C8 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F29A banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F26C banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F23E banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F210 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F1E2 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F1B4 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F186 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F158 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F12A banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F0FC banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F0CE banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F0A0 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F072 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F044 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=F016 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EFE8 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EFBA banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EF8C banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EF5E banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EF30 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EF02 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EED4 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EEA6 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EE78 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EE4A banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EE1C banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EDEE banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=EDC0 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=ED92 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=ED64 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=ED36 banks=08/08/01/01 mem6000=FF mem8000=21
BP_interrupt_dispatcher pc=49BE sp=ED08 banks=08/08/01/01 mem6000=FF mem8000=21
t5 pc=19B1 sp=ECF2 banks=08/08/01/01 mem6000=FF mem8000=21
