BP_init_screen_boss pc=6083 sp=F35C p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=00 phaseTbl=7206 atkTbl=7007 phase=7004 tile=0002 xy=00,04 prev=33,33 init=33 wh=33,33 beh=4033 forms=0000 weak=0000 timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=00,00 rest=00,00 draw=00@00,00
BP_resolve_phase pc=60FE sp=F358 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=00 phaseTbl=6534 atkTbl=6536 phase=7004 tile=0002 xy=18,0C prev=18,0C init=00 wh=33,33 beh=4033 forms=0000 weak=0000 timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=00,00 rest=00,00 draw=00@00,00
BP_init_behavior pc=6148 sp=F358 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=00 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=00,00 rest=00,00 draw=00@00,00
BP_draw_active pc=616E sp=F358 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=00,00 rest=00,00 draw=00@00,00
WRT_001 hl=19FB a=9C pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=03,03 rest=00,00 draw=9C@1B,0F
WRT_002 hl=19FC a=9C pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=03,04 rest=00,00 draw=9C@1C,0F
WRT_003 hl=1A1A a=96 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=04,02 rest=00,00 draw=96@1A,10
WRT_004 hl=1A1B a=94 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=04,03 rest=00,00 draw=94@1B,10
WRT_005 hl=1A1C a=94 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=04,04 rest=00,00 draw=94@1C,10
WRT_006 hl=1A1D a=96 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=04,05 rest=00,00 draw=96@1D,10
WRT_007 hl=1A3A a=97 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=05,02 rest=00,00 draw=97@1A,11
WRT_008 hl=1A3B a=95 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=05,03 rest=00,00 draw=95@1B,11
WRT_009 hl=1A3C a=9B pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=05,04 rest=00,00 draw=9B@1C,11
WRT_010 hl=1A3D a=97 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=05,05 rest=00,00 draw=97@1D,11
WRT_011 hl=1A5A a=98 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=06,02 rest=00,00 draw=98@1A,12
WRT_012 hl=1A5B a=93 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=06,03 rest=00,00 draw=93@1B,12
WRT_013 hl=1A5C a=9A pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=06,04 rest=00,00 draw=9A@1C,12
WRT_014 hl=1A5D a=99 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=06,05 rest=00,00 draw=99@1D,12
WRT_015 hl=1A7B a=98 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=07,03 rest=00,00 draw=98@1B,13
WRT_016 hl=1A7C a=99 pc=40E6 sp=F352 p=04/02/03 saved=06 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=07,04 rest=00,00 draw=99@1C,13
BP_update_boss pc=601C sp=F372 p=04/02/03 saved=01 count=01 table=C00A bank=FF entry=34 65 36 65 18 0C 00 01 01 64 00 active=01 phaseTbl=6534 atkTbl=6536 phase=6538 tile=654C xy=18,0C prev=18,0C init=00 wh=08,08 beh=65CC forms=661F weak=658C timer=00 act=00 tgt=00@00,00 aux0=00 dirty=00 rowcol=08,08 rest=00,00 draw=99@1C,13
