RESCALL_ENTRY pc=C1B7 sp=F374 top=6499/6284/6327 bank=05/05 px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/6008/6023 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/6008/6023 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/6011/6026 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/6011/6026 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/601A/6029 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/601A/6029 bank=0E/0E px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/6008/6023 bank=0F/0F px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/6008/6023 bank=0F/0F px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/6011/6026 bank=0F/0F px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/6011/6026 bank=0F/0F px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F35E top=6063/601A/6029 bank=0F/0F px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F35E top=6063/601A/6029 bank=0F/0F px=3333 enabled=33 pidx=33
BEFORE_FORCE_CALL pc=61AC sp=F362 top=600F/C156/0044 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F360 top=61AF/600F/C156 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60CA/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60CA bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60CA bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60D5/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60D5 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60D5 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33E top=60B0/60DF/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33C top=61BF/60B0/60DF bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33C top=61BF/60B0/60DF bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60E9/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60E9 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60E9 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60F4/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60F4 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60F4 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33E top=60B0/60FE/0430 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33C top=61BF/60B0/60FE bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33C top=61BF/60B0/60FE bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60CA/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60CA bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60CA bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60D5/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60D5 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60D5 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33E top=60B0/60DF/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33C top=61BF/60B0/60DF bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33C top=61BF/60B0/60DF bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60E9/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60E9 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60E9 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60F4/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60F4 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33A top=61BF/60B0/60F4 bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33E top=60B0/60FE/0468 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33C top=61BF/60B0/60FE bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_EXIT pc=C1F4 sp=F33C top=61BF/60B0/60FE bank=0B/0B px=3333 enabled=33 pidx=33
FORCE_ENTRY pc=61B0 sp=F33C top=60B0/60CA/0540 bank=0B/0B px=3333 enabled=33 pidx=33
RESCALL_ENTRY pc=C1B7 sp=F33A top=61BF/60B0/60CA bank=0B/0B px=3333 enabled=33 pidx=33
