t4 pc=43D0 sp=F350 stack=FFFF/451C bank=00/00/01/01 flow=00 screen=00 irq=0005 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=4793 sp=E8FE stack=247A/9F8C bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=4794 sp=E8FC stack=04F3/247A bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=4795 sp=E8FA stack=01FF/04F3 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=4797 sp=E8F8 stack=4010/01FF bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=4799 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=479B sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=00 old=C9C9C9
SP_BELOW_E900 pc=479E sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47A1 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47A2 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47A4 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47A7 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47A8 sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0092 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47AB sp=E8F6 stack=0104/4010 bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47DF sp=E8F4 stack=47AE/0104 bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47E0 sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47E2 sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47E4 sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47ED sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47EE sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
SP_BELOW_E900 pc=47F1 sp=E8F2 stack=0100/47AE bank=00/00/01/01 flow=00 screen=00 irq=0093 inirq=01 old=C9C9C9
space1_before pc=FD9A sp=E334 stack=19AB/4010 bank=47/47/01/01 flow=00 screen=00 irq=B20F inirq=01 old=F0FB45
space1_after pc=FD9A sp=DFCA stack=19AB/4010 bank=47/47/01/01 flow=00 screen=42 irq=B21E inirq=01 old=F0FB45
space2_before pc=199E sp=C7FC stack=47C7/0701 bank=47/47/01/01 flow=00 screen=42 irq=B287 inirq=01 old=F0FB45
space2_after pc=199E sp=C492 stack=47C7/0701 bank=47/47/01/01 flow=00 screen=42 irq=B296 inirq=01 old=F0FB45
