BP_4010_RESET_OR_INIT pc=4010 sp=F2EC p=00/00/00 flow=00 exit=00 screen=22 in=00 player=22 pxy=8738,8738 v=22/22
intro_before pc=602B sp=F372 p=04/02/03 flow=00 exit=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
intro_after pc=6032 sp=F372 p=04/02/03 flow=00 exit=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
start_before pc=A13F sp=F376 p=01/02/03 flow=00 exit=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
start_after pc=A179 sp=F376 p=01/02/03 flow=00 exit=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
BP_transition_call pc=A631 sp=F37C p=01/02/03 flow=01 exit=00 screen=00 in=00 player=00 pxy=8,80 v=00/00
