first_SPC_DOWN
second_SPC_DOWN
START_update_all_entities pc=7861 op=3A,B4,DF sp=F37A af=004C bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_001_rebuild_start pc=78C8 op=AF,32,A5 sp=F378 af=0100 bc=0200 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_002_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=FF44 bc=2000 de=0000 hl=DEB4 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=00/00/00/00/00/00 hero=FF lives=3 time=003C
TRACE_003_entity_job_should_run_c pc=77E9 op=79,FE,20 sp=F374 af=0042 bc=2000 de=0000 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=00/00/00/00/00/00 hero=FF lives=3 time=003C
TRACE_004_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0000 bc=2000 de=EA2C hl=EA4C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_005_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=001A bc=1F01 de=EA2C hl=EA4C p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_006_entity_job_should_run_c pc=77E9 op=79,FE,20 sp=F374 af=0042 bc=1F01 de=0001 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_007_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0044 bc=1F01 de=0001 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_008_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000A bc=1E02 de=0001 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_009_entity_job_should_run_c pc=77E9 op=79,FE,20 sp=F374 af=0042 bc=1E02 de=0002 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=01/01/01/01/01/01 hero=00 lives=3 time=003C
TRACE_010_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0013 bc=1E02 de=0002 hl=DF16 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_011_rebuild_loop pc=78E4 op=59,16,00 sp=F378 af=000B bc=1D03 de=0002 hl=DF16 p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
TRACE_012_next_entity pc=79D0 op=0C,05,C2 sp=F378 af=0202 bc=1D03 de=0003 hl=E42B p=01/02/03 flow=01 screen=00 dirty=00 sched=01 counts=02/01/01/02/02/01 hero=00 lives=3 time=003C
