BP_4010_RESET_OR_INIT pc=4010 sp=F2EC p=00/00/00 flow=00 screen=22 in=00 player=22 pxy=8738,8738 v=22/22
intro_before pc=602B sp=F372 p=04/02/03 flow=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
intro_after pc=6032 sp=F372 p=04/02/03 flow=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
intro_during pc=40D1 sp=F368 p=01/02/0B flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
start_before pc=A13F sp=F376 p=01/02/03 flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
start_after pc=A179 sp=F376 p=01/02/03 flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
start_during pc=4736 sp=F356 p=0E/15/07 flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
game_start pc=65EA sp=6E58 p=08/02/03 flow=01 screen=00 in=00 player=00 pxy=8,80 v=00/00
RIGHT_before pc=40DF sp=F378 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=8,80 v=00/00
RIGHT_during pc=40DB sp=F378 p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=32,80 v=02/00
RIGHT_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=64,80 v=02/00
UP_RIGHT_before pc=8804 sp=F364 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=64,80 v=00/00
UP_RIGHT_during pc=8057 sp=F368 p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=88,80 v=02/00
UP_RIGHT_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=120,80 v=02/00
UP_DOWN_before pc=8862 sp=F35A p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
UP_DOWN_during pc=8800 sp=F364 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
UP_DOWN_after pc=40F3 sp=F350 p=01/02/09 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
LEFT_RIGHT_before pc=8037 sp=F370 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
LEFT_RIGHT_during pc=A0A6 sp=F354 p=01/02/09 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
LEFT_RIGHT_after pc=78AB sp=F37A p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
ALL_DIRS_before pc=7387 sp=F376 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
ALL_DIRS_during pc=7386 sp=F376 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
ALL_DIRS_after pc=6C94 sp=F374 p=01/02/03 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
final pc=40E7 sp=F34E p=01/02/09 flow=01 screen=00 in=00 player=00 pxy=120,80 v=00/00
