BP_4010 pc=4010 sp=F2EC ret=F392 bank=00/00/00/00 flow=00 screen=33 irq=0000 inirq=00 input=00 btn=27 key8=FF joy=3F pidx=33 hero=00 prun=33 ent=65535,65535 sprslot=FF spr=65535,65535 visbest=00,159,57 pos=13107,13107
space1_before pc=95EB sp=F37C ret=95D6 bank=01/02/03/03 flow=00 screen=33 irq=00A7 inirq=00 input=00 btn=27 key8=FF joy=3F pidx=33 hero=00 prun=33 ent=65535,65535 sprslot=FF spr=65535,65535 visbest=FF,65535,65535 pos=13107,13107
space1_during pc=95FC sp=F37C ret=95D6 bank=01/02/03/03 flow=00 screen=33 irq=00AE inirq=00 input=00 btn=27 key8=FE joy=3F pidx=33 hero=00 prun=33 ent=65535,65535 sprslot=FF spr=65535,65535 visbest=FF,65535,65535 pos=13107,13107
space1_after pc=1A53 sp=F362 ret=19DD bank=01/02/03/03 flow=00 screen=00 irq=00BF inirq=00 input=00 btn=00 key8=FF joy=3F pidx=33 hero=00 prun=33 ent=65535,65535 sprslot=FF spr=65535,65535 visbest=FF,65535,65535 pos=13107,13107
space2_before pc=955B sp=F376 ret=9E6B bank=01/02/03/03 flow=00 screen=00 irq=0117 inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=FF,65535,65535 pos=8,80
space2_during pc=9598 sp=F376 ret=9E6B bank=01/02/03/03 flow=00 screen=00 irq=011E inirq=00 input=00 btn=00 key8=FE joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=FF,65535,65535 pos=8,80
space2_after pc=46E0 sp=F35E ret=46C6 bank=0C/02/03/03 flow=00 screen=00 irq=012D inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=FF,65535,65535 pos=8,80
BP_task_input_1 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=012F inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=FF,65535,65535 pos=8,80
BP_task_input_2 pc=4B10 sp=F37A ret=9D8D bank=01/02/03/03 flow=01 screen=00 irq=0130 inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,97,160 pos=8,80
t12 pc=66B3 sp=F360 ret=024F bank=0D/02/03/03 flow=01 screen=00 irq=01AF inirq=00 input=00 btn=00 key8=FF joy=3F pidx=00 hero=00 prun=01 ent=8,80 sprslot=00 spr=8,224 visbest=02,139,160 pos=8,80
SHOTOK patoantic248_matrix_megarom_konami_t12.png
