BP_4010_RESET_OR_INIT pc=4010 sp=F2EC p=00/00/00 flow=00 screen=22 in=00 player=22 pxy=8738,8738 v=22/22
intro_before pc=602B sp=F372 p=04/02/03 flow=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
intro_after pc=6032 sp=F372 p=04/02/03 flow=00 screen=00 in=00 player=FF pxy=0,0 v=00/00
start_before pc=A13F sp=F376 p=01/02/03 flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
start_after pc=A179 sp=F376 p=01/02/03 flow=00 screen=00 in=00 player=00 pxy=8,80 v=33/00
step_00_before pc=65EE sp=6E18 p=08/02/03 flow=01 screen=00 in=00 player=00 pxy=8,80 v=00/00
step_00_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_01_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_01_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_02_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_02_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_03_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_03_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_04_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_04_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_05_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_05_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_06_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_06_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_07_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_07_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_08_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_08_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_09_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_09_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_10_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_10_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_11_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_11_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_12_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_12_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_13_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_13_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_14_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_14_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_15_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_15_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_16_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_16_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_17_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_17_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_18_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_18_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_19_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_19_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_20_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_20_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_21_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_21_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_22_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_22_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_23_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_23_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_24_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_24_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_25_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_25_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_26_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_26_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_27_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_27_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_28_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_28_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_29_before pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
step_29_after pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
checkpoint_45 pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
final_60 pc=A631 sp=F37C p=01/02/03 flow=01 screen=00 in=03 player=00 pxy=30,80 v=02/00
