t_1 pc=8113 sp=F2F6 banks=00/00/00 music=FF setup=00 delay=00 cnt=00 inirq=FF
t_2 pc=1130 sp=F2FE banks=00/00/00 music=FF setup=00 delay=00 cnt=00 inirq=FF
t_3 pc=1130 sp=F2FE banks=00/00/00 music=FF setup=00 delay=00 cnt=00 inirq=FF
t_4 pc=1130 sp=F2FE banks=00/00/00 music=FF setup=00 delay=00 cnt=00 inirq=FF
BP_4010_1 pc=4010 sp=F2EC banks=00/00/00 music=FF setup=00 delay=00 cnt=00 inirq=FF
t_5 pc=4724 sp=F374 banks=0D/02/04 music=01 setup=00 delay=01 cnt=01 inirq=00
t_6 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_7 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_8 pc=182C sp=F360 banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_9 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_10 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_11 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_12 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_13 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_14 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_15 pc=67C8 sp=F35E banks=0C/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_16 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_17 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_18 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_19 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_20 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_21 pc=67F3 sp=F35E banks=0C/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_22 pc=663A sp=F35A banks=0C/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_23 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_24 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_25 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_26 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_27 pc=6682 sp=F35A banks=0C/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_28 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_29 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_30 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_31 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_32 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_33 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_34 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_35 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_36 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_37 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_38 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_39 pc=8CE8 sp=F37C banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
t_40 pc=1A24 sp=F364 banks=01/02/03 music=01 setup=00 delay=01 cnt=01 inirq=00
done reset_count=1
